,источник деривации,лемма греч.,часть речи ,фонетич. и графическая вариантность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата создания списков,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки
евангелистъ,,,м.,,,,,,,,"СлРЯ, 5, 11-12",,,,,,,,,,
евангельски,,,нареч.,,,,,,,,"СлРЯ, 5, 12",,,,,,,,,,
евангельский,,,прил.,еуангельский,,,,,,,"СлРЯ, 5, 12",,,,,,,,,,
еваньгелие,,,м.,,,,,,,,"СлРЯ, 5, 12",,,,,,,,,,
евеньсκъ,,ἔβενος,прил.,,,,,,,,"ФГcэ, III, 57; Срз. I, 807",,,,,,,,,,
евнухъ,,εὐνοῦχος,м.,"емнухъ, еунохъ",,,,,,eunuchus,"ФГcэ, III, 57; СлРЯ, 5, 12",,,,,,,,,,
евнушский,,,прил.,,,,,,,,"СлРЯ, 5, 12",,,,,,,,,,
евреиски,,,нареч.,евреискы,,,,,по-еврейски,,,,да,,,1057 г.,"Ии҃с Назареи, цр҃ь Иудеискъ … и бѣ написано [на кресте] евреискы, грьчьскы, латиньскы (Ἑβραϊστί, Ἑλληνιστί, Ρωμαϊστί). (Ин. XIX, 20) Остр. ев., 220 об.",названия языков,,,
егупътъ,,Αἴγυπτος,м.,египта,,,,,,Aegyptus,"ФГcэ, III, 57",,,,,,,,,,
екдикъ,,ἔκδικος,м.,"екъдиктъ, егдакъ",,,,,,defensor civitatis,"ФГcэ, III, 57; Срз. I, 414; СлРЯ, 5, 42",,,,,,,,,,
еклисиастъ,,ἐκκλησιαστής,м.,оклисиастъ,,,,,,,"ФГcэ, III, 57; Срз. I, 822; СлРЯ, 5, 43",,,,,,,,,,
еклиснархъ,,ἐκκλησιάρχης,м.,клисиярхъ,,,,,,custos ecclesiae,"ФГcэ, III, 57",,,,,,,,,,
ексапостиларий,,ἐξαποστειλάριον,м.,,,,,,,hymnus ecclesiasticus,"ФГcэ, III, 57",,,,,,,,,,
ексапсалмие,,,ср.,,,,,,,,"СлРЯ, 5, 43",,,,,,,,,,
ексапсалмъ,,ἐξάψαλμος,м.,оксапсалмъ,,,,,,sex psalmi,"ФГcэ, III, 57; Срз. I, 822; СлРЯ, 5, 43",,,,,,,,,,
ексархъ,,ἔξαρχος,м.,екзархъ,,,,,,princeps,"ФГcэ, III, 57; СлРЯ, 5, 43",,,,,,,,,,
ексория,,ἐξορία,ж.,,,,,,,exilium,"ФГcэ, III, 57; СлРЯ, 5, 43",,,,,,,,,,
ектения,,ἐκτενή,ж.,"октения, ектенья",,,,,,,"ФГcэ, III, 57; Срз. I, 822; СлРЯ, 5, 43",,,,,,,,,,
елеина,,,ж.,,,,,,,,"СлРЯ, 5, 44",,,,,,,,,,
елеинъ,ἔλαιον,ἐλεεινός,прил.,,,,,,,,"ФГcэ, III, 58",,,,,,,,,,
елей,,ἔλαιον,м.,,,,,,"1. масло для светильников; 2. (благовонное) масло; 3. масло, использовавшееся также для лечебных целей",oleum,"ФГcэ, III, 58; СлРЯ, 5, 44",,да,,,1057 г.,"1) Буяя бо приимъшя свѣтильникы своя, не възяшя съ собою елеа (ἔλαιον). (Мф. XXV, 3) Остр. ев., 148.  2) елеемъ главы моея не
помаза, си же муръмь помаза нозѣ мои (ἐλαίῳ). (Лк. VII, 46) Остр. ев., 223 об. 3) Самарѣнинъ … обяза струпы его, възливая елеи и вино (ἔλαιον). (Лк. X, 34) Остр. ев., 103. 
",,,,олеи
елейный,,,прил.,,,,,,,,"СлРЯ, 5, 44",,,,,,,,,,
елеосвящение,ἔλαιον,,ср.,,,,,,,,"СлРЯ, 5, 45",,,,,,,,,,
елефантъ,,ἐλέφας;ἐλέφαντες,м.,елефандъ,,,,,,elephans,"ФГcэ, III, 58; СлРЯ, 5, 45",,,,,,,,,,
елински,,,нареч.,,,,,,,,"СлРЯ, 5, 46",,,,,,,,,,
елинский,,,прил.,еллинский,,,,,,,"СлРЯ, 5, 47",,,,,,,,,,
елинство,,,ср.,еллинство,,,,,,,"СлРЯ, 5, 47",,,,,,,,,,
елиныни,,,ж.,,,,,,,,"СлРЯ, 5, 47",,,,,,,,,,
еллинствовати,,,глаг.,еллиньствовати,,,,,,,"СлРЯ, 5, 47",,,,,,,,,,
еллинъ,,ἕλλην,м.,елинъ,,,,,,paganus,"ФГcэ, III, 58; СлРЯ, 5, 46",,,,,,,,,,
елуръ,,αἴλουρος,м.,ерулъ,,,,,,mustela,"ФГcэ, III, 58; Срз. I, 825; СлРЯ, 5, 48",,,,,,,,,,
еля,,ἔλα,м.,,,,,,,,"ФГcэ, III, 58",,,,,,,,,,
емволъ,,ἔμβολος,м.,"амболъ, емъволъ",,,,,,porticus,"ФГcэ, III, 58; СлРЯ, 5, 50",,,,,,,,,,
ендивий,,ἐντύβιον,м.,,,,,,,cichorium intybus,"ФГcэ, III, 58",,,,,,,,,,
енколпионъ,,ἐγκόλπιον,м.,,,,,,,theca sanctorum reliquias continens,"ФГcэ, III, 58",,,,,,,,,,
еной,,ἕνας<εἶς,,,,,,,,primus,"ФГcэ, III, 58",,,,,,,,,,
енуарь,,ἰανουάριος,м.,,ианнуарий,от лат. ianuarius,,январь (название месяца),,,,,да,,,1057 г.,"Мс҃ца енуара, просиньца рекомааго (μὴν ʼΙανουάριος). (Запись) Остр.ев., 256.",названия месяцев,в цитате находится славянская глосса,,ианнуарий
епархийский,ἐπαρχία,,прил.,,,,,,,,"СлРЯ, 5, 52",,,,,,,,,,
епархия,,ἐπαρχία,ж.,,,,,,,,"ФГcэ, III, 58",,,,,,,,,,
епархия,,,м.,,,,,,,,"СлРЯ, 5, 52-53",,,,,,,,,,
епархиянинъ,,,м.,,,,,,,,"СлРЯ, 5, 53",,,,,,,,,,
епарховъ,,,прил.,,,,,,,,"СлРЯ, 5, 53",,,,,,,,,,
епархъ,,ἔπαρχος,м.,,,,,,,praefectus urbis,"ФГcэ, III, 58; СлРЯ, 5, 52",,,,,,,,,,
епаршество,,,ср.,,,,,,,,"СлРЯ, 5, 53",,,,,,,,,,
епендитъ,,ἐπενδύτης,м.,ефендитъ,,,,,,mantile,"ФГcэ, III, 59; СлРЯ, 5, 53",,,,,,,,,,
епископие,,,ср.,епискупие,,,,,,,"СлРЯ, 5, 53-54",,,,,,,,,,
епископий,,,прил.,епискупий,,,,,,,"СлРЯ, 5, 54",,,,,,,,,,
епископити,,,глаг.,епискупити,,,,,,,"СлРЯ, 5, 54",,,,,,,,,,
епископия,,,ж.,"епископья, епискупия",,,,,,,"СлРЯ, 5, 54",,,,,,,,,,
епископль,,,прил.,епискупль,,,,,,,"СлРЯ, 5, 54",,,,,,,,,,
епископский,,,прил.,,,,,,,,"СлРЯ, 5, 54",,,,,,,,,,
епископствие,,,ср.,епискупьствие,,,,,,,"СлРЯ, 5, 54",,,,,,,,,,
епископство,,,ср.,епискупство,,,,,,,"СлРЯ, 5, 54",,,,,,,,,,
епископствовати,,,глаг.,епискупьствовати,,,,,,,"СлРЯ, 5, 54",,,,,,,,,,
епископъ,,ἐπισκοπος,м.,"епискоупъ, пискоупъ",,,,,,episcopus,"ФГcэ, III, 59; СлРЯ, 5, 53",,,,,,,,,,
епистафия,,ἐπιστάφιον,ж.,"епитафий (? СлРЯ, 5, 55)",,,,,,inscriptio sepulcratis,"ФГcэ, III, 59",,,,,,,,,,
епистолийский,,,прил.,,,,,,,,"СлРЯ, 5, 55",,,,,,,,,,
епистолия,,ἐπιστόλιον,ж.,,,,,,,epistula,"ФГcэ, III, 59; СлРЯ, 5, 55",,,,,,,,,,
епитимийникъ,,,м.,епитемейникъ,,,,,,,"СлРЯ, 5, 55",,,,,,,,,,
епитимийный,,,прил.,епитьминый,,,,,,,"СлРЯ, 5, 55",,,,,,,,,,
епитимия,,ἐπιτίμιον,ж.,"опитемья, опитимия, епитѣмья",,,,,,poena,"ФГcэ, III, 59; Срз. I, 682; СлРЯ, 5, 55",,,,,,,,,,
епитрахилий,,,м.,епитрахилия,,,,,,,"СлРЯ, 5, 55",,,,,,,,,,
епитрахиль,,ἐπιτραχήλι(ον),ж.,"патрахиль, патрафiль, патрахель, епатрахѣль, петрахиль",,,,,,stola sacerdotis,"ФГcэ, III, 59; СлРЯ, 5, 55",,,,,,,,,,
епитрахильная,,,прил.,епитрахѣльная,,,,,,,"СлРЯ, 5, 55",,,,,,,,,,
епифание,,ἐπιφάνεια,ср.,,,,,,,festum Natalis,"ФГcэ, III, 59; Срз. I, 830",,,,,,,,,,
епомида,,ἐπωμίδα<ἐπωμίς,ж.,епомидъ,,,,,,stola sacerdotis,"ФГcэ, III, 59; Срз. I, 830; СлРЯ, 5, 55",,,,,,,,,,
ератонъ,,ἰερατεῖον,,,,,,,,,,,да,,,XI в.,"ератонъ. Патерик Син., л. 157.",богослужебные постройки и их части,,,
ергастирь,,ἐργαστήριον,ж.,"ерьгастырь, аръгастирь",,,,,,,"ФГcэ, III, 62; Срз. I, 833; СлРЯ, 5, 56",,,,,,,,,,
ерданный,,,прил.,,,,,,,,"СлРЯ, 5, 56",,,,,,,,,,
ердань,,Ἰορδάνης,ж.,иердань,,,,,,,"ФГcэ, III, 60; СлРЯ, 5, 56",,,,,,,,,,
ереса,,,ж.,,,,,,,,"СлРЯ, 5, 56",,,,,,,,,,
ересевь,,ἐρυσίβη,ж.,ерусивъ,,,,,,erugo,"ФГcэ, III, 60; Срз. I, 830",,,,,,,,,,
ересесоначалькъ,,,м.,ересеначальникъ,,,,,,,"СлРЯ, 5, 57",,,,,,,,,,
ересникъ,,,м.,,,,,,,,"СлРЯ, 5, 57",,,,,,,,,,
ересный,,,прил.,ерессный,,,,,,,"СлРЯ, 5, 57",,,,,,,,,,
ересоначальный,,,прил.,,,,,,,,"СлРЯ, 5, 57",,,,,,,,,,
ерестливый,,αἵρεσις,прил.,ересливый,,,,,,,"ФГcэ, III, 61",,,,,,,,,,
ересь,,αἵρεσις,ж.,"ересть, ерестъ",,,,,,haeresis,"ФГсэ, III, 60-61; SJS 11, 579-580; Срз. I, 831; СДРЯ III, 216-217; СлРЯ 5, 57",,,,,1057 г.,"ереси -  Патерик Син., ",л. 160,"ср. τῆς βλαβερᾶς αἱρέσεως ταύτης – вѣря тоя. Патерик Син., л. 14 об.; πρὸς τὴν αἵρεσιν –къ зъловѣрию. л. 17 об.",,
еретикъ,,αἱρετικός,м.,"ересникъ, еретигъ","ерестунъ (ФГcэ, III, 61)",,,,,haereticus,"ФГcэ, III, 61; СлРЯ, 5, 57",,,,,,,,,,
еретица,,αἱρετικός,ж.,,,,,,,,"ФГcэ, III, 61; СлРЯ, 5, 57",,,,,,,,,,
еретический,,,прил.,еретижский,,,,,,,"СлРЯ, 5, 57-58",,,,,,,,,,
еретичество,,,ср.,,,,,,,,"СлРЯ, 5, 58",,,,,,,,,,
еретичествовати,,,глаг.,,,,,,,,"СлРЯ, 5, 58",,,,,,,,,,
Ермолай,,Ἑρμόλαος,м.,"Ермола, Ермак","ермолка, ермулка (ФГcэ, III, 61)",,,,,Nomen,"ФГcэ, III, 61",,,,,,,,,,
ермолафия,,ἑρμολόγι<εἰρμολόγιον,ж.,,,,,,,,"ФГcэ, III, 61",,,,,,,,,,
ермолой,,ἑρμολόγι<εἰρμολόγιον,м.,ирмолой,,,,,,liber ecclesiasticus,"ФГcэ, III, 61; СлРЯ, 5, 58",,,,,,,,,,
еродиевъ,,,прил.,,,,,,,,"СлРЯ, 5, 58",,,,,,,,,,
еродий,,ἐρῳδιός,м.,,,,,,,ardea,"ФГcэ, III, 61; СлРЯ, 5, 58",,,,,,,,,,
еродула,,*ἱεροδοῦλα;ἱεροδοῦλος,ж.,,,,,,,tempeldienerin,"ФГcэ, III, 61",,,,,,,,,,
ерой,,γέρος,прил.,ерый,,,,,,,"ФГcэ, III, 61-62",,,,,,,,,,
еромонахъ,,ἱερομόναχος,м.,,,,,,,hieromonachus,"ФГcэ, III, 128; СлРЯ, 5, 58",,,,,,,,,,
ероста,,γέρος,,"jероста, херустъ, ираста, хирусъ",,,,,,,"ФГcэ, III, 62",,,,,,,,,,
еругатникъ,,αὐγό<ἀβό,м.,,,,,,,,"ФГcэ, III, 226",,,,,,,,,,
еръ,,γέρος,прил.,,,,,,,,"ФГcэ, III, 62; СлРЯ, 5, 55",,,,,,,,,,
етеръ,,ἐταῖρος,м.,,,,,,,"sodalis, collega","ФГcэ, III, 62; Срз. I, 835; СлРЯ, 5, 64",,,,,,,,,,
ефера,,αἰθήρ>acc.αἰθέρα,ж.,,"етерь (ФГcэ, III, 62; Срз. I, 835)",,,,,aether,"ФГcэ, III, 62",,,,,,,,,,
ефимерия,,ἐφημερία,ж.,,,,да,,"смена, череда (иудейских священнослужителей)",,,"Стболг. I, 482",да,,,1057 г.,"Бысть въ дьни Ирода цр҃а Иудеиска иереи етеръ именемъ Захария отъ ефимерия Авиа (ἐξ ἐφημερίας). (Лк. I, 5) Остр. ев., 277 об.",,"ср.: въ чину чрѣды своея (ἐν τῇ τάξει τῆς ἐφημερίας). (Лк. I, 8) Остр. ев., 278. ",,
ехидна,,ἔχιδνα,ж.,"ехидьна, охидна","ахидъ, ехидъ (ФГcэ, III, 62)",,,,,vipera,"ФГcэ, III, 62; СлРЯ, 5, 66",,,,,,,,,,
ехидненский,ἔχιδνα,,прил.,,,,,,,,"СлРЯ, 5, 66",,,,,,,,,,
ехидновъ,ἔχιδνα,,прил.,,,,,,,,"СлРЯ, 5, 66",,,,,,,,,,
ехидный,ἔχιδνα,,прил.,,,,,,,,"СлРЯ, 5, 67",,,,,,,,,,
ехидьньскъ,ἔχιδνα,,прил.,ехидьновъ,,,,,"относящийся, принадлежащий ехидне",,"СлРЯ, 5, 67","Стболг. I, 483",да,,,1057 г.,"Ищядия ехидьнова, како можете добро гл҃ати, зъли суще (γεννήματα ἐχιδνῶν)? (Мф. XII, 34) Остр. ев., 69.",,,,
ехинъ,,ἐχῖνος,м.,,,,,,,erinaceus,"ФГcэ, III, 62; СлРЯ, 5, 67",,,,,,,,,,
ехмднинъ,,,прил.,,,,,,,,"СлРЯ, 5, 66",,,,,,,,,,
заяперить,,ἐπαίρω>παίρω,глаг.,,,,,,,,"ФГcэ, III, 68",,,,,,,,,,
звиняръ,,ζουνάρι(ον),м.,"звинерь, зинарь",,,,,,,"ФГcэ, III, 62-63",,,,,,,,,,
звонарь,,,м.,,,,,,,,"СлРЯ, 5, 349",,,,,,,,,,
звонение,,,ср.,,,,,,,,"СлРЯ, 5, 357",,,,,,,,,,
звонецкий,,,прил.,,,,,,,,"СлРЯ, 5, 357",,,,,,,,,,
звонити,,,глаг.,,,,,,,,"СлРЯ, 5, 357",,,,,,,,,,
звонкий,,,прил.,,,,,,,,"СлРЯ, 5, 357",,,,,,,,,,
звонникъ,,,м.,,,,,,,,"СлРЯ, 5, 357",,,,,,,,,,
звонный,,,прил.,,,,,,,,"СлРЯ, 5, 357",,,,,,,,,,
звоногласица,,,ж.,,,,,,,,"СлРЯ, 5, 358",,,,,,,,,,
звоность,,,ж.,,,,,,,,"СлРЯ, 5, 358",,,,,,,,,,
звонцовъ,,,прил.,,,,,,,,"СлРЯ, 5, 358",,,,,,,,,,
звончатый,,,прил.,,,,,,,,"СлРЯ, 5, 358",,,,,,,,,,
звонъ,,,м.,,,,,,,,"СлРЯ, 5, 356",,,,,,,,,,
звьнети,,ζουνάρι(ον),глаг.,звенѣти,,,,,,sonare,"ФГcэ, III, 63; СлРЯ, 5, 349",,,,,,,,,,
зерить,,ξεύρω<ἐξεύρω:ἐξευρίσκω,глаг.,,,,,,,,"ФГcэ, III, 176",,,,,,,,,,
зетать,,ζετῶ<ζητῶ,глаг.,,,,,,,,"ФГcэ, III, 63",,,,,,,,,,
зетить,,ζετῶ<ζητῶ,глаг.,зехать,,,,,,,"ФГcэ, III, 63",,,,,,,,,,
зигисати,,ζυγίζω,глаг.,,,,,,,"prendere, librare","ФГcэ, III, 63",,,,,,,,,,
зипунец,,,м.,,,,,,,,"СлРЯ, 6, 5",,,,,,,,,,
зипунишко,,,ср.,,,,,,,,"СлРЯ, 6, 5",,,,,,,,,,
зипунникъ,,,м.,,,,,,,,"СлРЯ, 6, 5",,,,,,,,,,
зипунный,,,прил.,,,,,,,,"СлРЯ, 6, 5",,,,,,,,,,
зипунокъ,,,м.,,,,,,,,"СлРЯ, 6, 5",,,,,,,,,,
зипунъ,,ζιπούνι,м.,"супонь, супоня",,,,,,,"ФГcэ, III, 63-64; СлРЯ, 6, 5",,,,,,,,,,
змилька,,σμῖλος,ж.,,"пазмiлька (ФГcэ, III, 64)",,,,,plantae,"ФГcэ, III, 64",,,,,,,,,,
змирна,,σμύρνα,ж.,"змурна, змурьна, змюрьна, смирна, смурна",,,,,смирна (ароматическая смола),myrrha,"ФГcэ, III, 64; СлРЯ, 25, 196","Стболг. I, 548",да,,,1057 г.,"[Волхвы] принесошя ем<у> [младенцу Иисусу] дары, злато, и ливанъ, и змурьну (σμύρναν). (Мф. II, 11) Остр.ев., 252.","ароматы, благовония",,,"змурна, змурьна, змюрьна, смирна, смурна"
змирный,σμύρνα,,прил.,"змурьнъ, ",,,,,из смирны состоящий,,"СлРЯ, 25, 196",,,,,1057 г.,"Никодимъ… несы съмѣшение змурно и алоино (μίγμα σμύρνης καὶ ἀλόης). (Ин. XIX, 39) Остр. ев., 195. 1057 г.","ароматы, благовония",,,смирненый
зястра,,*ξέστρα,ж.,,,,,,,dos,"ФГcэ, III, 64",,,,,,,,,,
иаспий,,,м.,,,,,,,,"СлРЯ, 6, 76",,,,,,,,,,
иасписовый,,,прил.,,,,,,,,"СлРЯ, 6, 76",,,,,,,,,,
иасписъ,,ἴασπις,м.,асписъ,,,,,,iaspis,"ФГcэ, III, 64; Срз. I, 1018; СлРЯ, 6, 76",,,,,,,,,,
ивинъ,,ἴβις,м.,,,,,,,ibis,"ФГcэ, III, 64",,,,,,,,,,
игемония,,ἡγεμονία,ж.,,,,,,"владычество, правление",,"СлРЯ, 6, 77",,да,,,,,,,,
игемоновъ,ἡγεμών,,прил.,,,,,,,,,"Стболг. I, 585",да,,,1057 г.,"Тогда воини игемонови прѣимъше Ии҃са въ судищи (τοῦ ἡγεμόνος). (Мф. XXVII, 27) Остр.ев., 187.",,,,
игемонъ,,ἡγεμών,м.,,,,,,правитель,dux,"ФГcэ, III, 64; СлРЯ, 6, 77","Стболг. I, 585",да,,,1057 г.,"Ии҃с же ста прѣдъ игемонъмь, и въпроси и игемонъ (ἔμπροσθεν ἡγεμόνος … ὁ ἡγεμων). (Мф. XXVII, 11) Остр. ев., 185 об.",,,,
игранята,,αὐγό<ἀβό,мн.ч.,,,,,,,,"ФГcэ, III, 226",,,,,,,,,,
игуменати,,,глаг.,,,,,,,,"СлРЯ, 6, 84",,,,,,,,,,
игумении,,,ж.,,,,,,,,"СлРЯ, 6, 84",,,,,,,,,,
игумений,,,прил.,,,,,,,,"СлРЯ, 6, 84",,,,,,,,,,
игуменинъ,,,прил.,игуменьинъ,,,,,,,"СлРЯ, 6, 84",,,,,,,,,,
игуменити,,,глаг.,,,,,,,,"СлРЯ, 6, 84",,,,,,,,,,
игуменов,,,прил.,игумновъ,,,,,,,"СлРЯ, 6, 84-85",,,,,,,,,,
игуменский,,,прил.,,,,,,,,"СлРЯ, 6, 85",,,,,,,,,,
игуменство,,,ср.,,,,,,,,"СлРЯ, 6, 85",,,,,,,,,,
игуменъ,,ἡγούμενος,м.,,,,,,,hegumenus,"ФГcэ, III, 65; СлРЯ, 6, 84",,,,,,,,,,
игуменья,,ἡγούμενη,ж.,,,,,,,,"ФГcэ, III, 65; СлРЯ, 6, 85",,,,,,,,,,
игъдь,,ἴγδι(ον),ж.,,,,,,,mortarium,"ФГcэ, III, 65",,,,,,,,,,
идолка,,εἴδωλον,ж.,,,,,,,,"ФГcэ, III, 65",,,,,,,,,,
идолобѣсие,,,ср.,,,,,,,,"СлРЯ, 6, 86",,,,,,,,,,
идолобѣситися,,,глаг.,,,,,,,,"СлРЯ, 6, 86",,,,,,,,,,
идоловѣрие,,,ср.,,,,,,,,"СлРЯ, 6, 86",,,,,,,,,,
идолодѣлатель,,,м.,,,,,,,,"СлРЯ, 6, 86",,,,,,,,,,
идоложентвенное,,,ср.,идоложьртвьнаа,,,,,,,"СлРЯ, 6, 86",,,,,,,,,,
идоложертвие,,,ср.,,,,,,,,"СлРЯ, 6, 86",,,,,,,,,,
идоложрецъ,,,м.,идоложрьць,,,,,,,"СлРЯ, 6, 86",,,,,,,,,,
идололатрия,,,ж.,,,,,,,,"СлРЯ, 6, 86",,,,,,,,,,
