,источник деривации,лемма польск.,часть речи, фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариантивность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях восточнославянских языков,переводные источники,оригинальные источники,дата создания списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация,связывающие отсылки
астрологский,,,прил.,,астроложский,см. астрологъ,,да,Относящийся к астрологии.,,"СлРЯ, 1, 56",,,,XVI в.,,"Пишется о немъ, яко, астрологскимъ предувѣдѣниемъ воздвиженъ, въ Африкию прииде. М.Гр. I, 284. XVI в.",,,,
острологичный,,astrologiczny,прил.,острологичный,,см. астрология,,да,Относящийся к астрологии.,,"СлРЯ, 1, 56",,,,1681,,"По острологичны феноменамъ узнаваютъ крѣпко силному быти и всѣеъ миромъ обладати. Д. протест., 211. 1681 г.",,,,"астрологъ, острологъ"
астрология,,astrologia,ж.,,,"Допустимо посредство лат. (< греч.) astrologia или польск. (< лат.) astrologia (Аникин, 1, 324).",,да,В древности и в Средние века учение о движении и расположении небесных светил.,,"СлРЯ, 1, 56",,,,1678,,"У китайского хана есть одинъ приказъ великой, и въ томъ приказѣ учатся астрологию, се есть звѣздословие. Спафарий. Китай, 227. 1678 г.
",,"Ст.-рус. звѣздословие, звѣдочетство — кальки греч. слова ἄστρολογία (Аникин, 1, 324).",,"астрологъ, острологъ"
астрология,,astrologia,ж.,,,"Допустимо посредство лат. (< греч.) astrologia или польск. (< лат.) astrologia (Аникин, 1, 324).",,да,В древности и в Средние века учение о движении и расположении небесных светил,,"СлРЯ, 1, 56",,,,XVI в.,,"Правнукъ же его [Фариса], именемъ Гундаварий сей первыи написа астрологию во Асирий въ предѣлехъ Симовѣхъ. Сказ. кн. Влад., 590. XVI в.",,"Ст.-рус. звѣздословие, звѣдочетство — кальки греч. слова ἄστρολογία (Аникин, 1, 324).",,"астрологъ, острологъ"
астролябия,,astrolabium,ж.,,астролябиум,ВНИмание: Аникин не полонизм,,,.,,,,,,,,астролябиум E2 1688,,,,
атласъ,,atłas,м.,отласъ,,"Через польск. atłas или нем. (ср.-н.-
нем.) Atlas из араб. ’at.lasСИМВОЛ ‛гладкий, тонкий’, ‛невысокого
качества (о шелке)’; сюда же тур. atlaz, atlas, ставшее одним из посредствующих
звеньев при диффузии данного арабизма на Балканах
и в др. частях Европы. Определить пути проникновения в рус. затруднительно. Скорее всего
с Востока — через перс. или тюрк.; допускают также роман.
посредство: во Львове, старом центре торговли тканями, где бывали московские купцы, ими торговали и венецианцы (Аникин, 1, 333).",,да,Ткань атлас.,,"СлРЯ, 1, 57; Фасмер, I, 96",,,,1489,,"А у Бориса у укладника взяли дватцать нюгъ шафрану, да отласъ, да косякъ тафты червчатые. Польск. д. I, 29. 1489 г.",,"«По месту
выработки в торговых книгах и документах XVII века называются
атласы: венедицкий или виницейский, немецкий, а из восточных —
кизилбашский, турский и китайский» (Аникин, 1, 333).",,
атласный,,,прил.,отласный,,см. атласъ,,,Сделанный из атласа.,,"СлРЯ, 1, 57",,,,1514,,"Лѣтникъ отласенъ полоса(ть). А.тяг. II, 2. 1514 г.",,,,
отласецъ,,,м.,,,см. атласъ,,да,Уменьш. к атласъ.,,"СлРЯ, 1, 57.",,,,1640,,"Шеломъ желобчатъ, строны и задъ прикрыты доски отласцомъ травы розныхъ цвѣтовъ. Окруж.Мих.Фед., 62. 1640 г.",,,,
аттестация,,atestacja,ж.,,,"Из лат. attestātio от attestātus. В рус., вероятно, пришло с Юго-Запада, через ст.-блр. и ст.-
укр. из ст.-польск. atestacyja XVII в. (Аникин, 1, 336).",,да,"Аттестация, свидетельство о прохождении службы, характеристика.",,"СлРЯ, 1, 58",,,,1698,,"Винценца Винценций подъ днемъ 28-мъ бѣжащаго запросилъ о аттестации, т.е. о свидѣтельствовании Ивана Лазаревича такъ имянованнаго, что въ ней есть ноторъ, или писарь венецкий доброй славы. Дн. П. Толстого, 22. 1698 г.",,,,
аудиенция,,audiencja,ж.,,,"В
конечном счете из ср.-лат. audientia (к audio ‛слышу’), откуда
франц. audience, нем. Audienz, чеш. audience, польск. audiencja и т.п. В рус непосредственно из лат. и зап.-евр. яз. (из нем.; в формах на
о(в)- — из франц.?); допустимо посредство ст.-польск. audyjencyja
XVI, а также ст.-укр., ст.-блр. авдиенция (Аникин, 1, 338-339).",,да,,,нет в СлРЯ,,,,,,S 1612; FG2 1696,,,,
аурипигментъ,,aurypigment,м.,,,"НЕТ у Аникина, Фасмера, Шанского",,,,,нет в СлРЯ,,,,,,L 17 w.,,,,
аффектъ,,afekt,м.,,,"Ср. лат. affectus ‛чувство, страсть’ (к afficio ‛причиняю’), откуда нем. Affekt и (через нем. или непосредственно из лат.) польск. afekt. Для ранней стадии истории рус. аффектъ допустимо польск. (в том числе через укр. и блр.) и (?) лат. происхождение, в XVIII в. и позднее не исключено также нем. влияние (Аникин, 1, 343). ",,да,Чувство.,,"СлРЯ, 1, 58",,,,1660,,"И великий государь его царское величество то вашего высокочестнѣишаго Фердинандуса князя доброе тщание и усердное къ любительному совѣту хотѣние принимаетъ добрымъ аффектомъ. Итал. д., 558. 1660 г.",,"Рус. афект в знач. ‛благожелательность, благоволение’ (СлРЯ XVIII 1: 118) выводится из польск. afekt (Аникин, 1, 343).",,
баволница,,bawełnica,ж.,,,"Ср. (ст.-)польск. bawełna XV в. (-eł- > вост.-слав. -ол-; возможно
влияние вóлна ‛шерсть’) < чеш. bavlna ‛хлопок’, ст.-чеш.
bavlník ‛тутовый шелкопряд’ <
? итал. bavella ‛шелк-сырец’ < ср.-лат. malvella. В рус. проникло через укр. или
блр. посредство. Или чеш. из ср.-в.-нем. boumwol(l)e,
нем. Baumwolle ‛хлопок’ (диал. bawele, bauwele), сложения
Baum ‛дерево’ и Wolle ‛шерсть’ (Аникин, 2, 46).",,да,,,в СлРЯ нет,,,,,,"Основ.Царьгр. (17, 41)",,,,
бажантъ,,bażant,,бажандъ,," Из
польск. bażant XV в., кот. из ср.-в.-нем. fasant (vasant) < ср.-лат. phasanus, phasianus
= лат. Phāsiānus ‛с реки Фасиды, фасидский, колхидский’ (Аникин, 2, 69).",,да,Фазан.,,"СлРЯ, 1, 65",,,,1670,,"Все то гс ҃дртво бажандами и тетеревями, и иными всякими разными птицами наполнено несказаемое множество. Козм., 342. 1670 г.",,,,
