А,источник деривации,лемма греч.,часть речи ,фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки,,
емигрониевъ,,< ἡμικρανία,прил.,,,,,,емигрониева болесть - мигрень,,"СлРЯ, 5, 50",,"Травник Любч., 600. XVII в. ~ 1534 г.",,XVII в.,1534 г.,"Емигрониева болесть. Травник Любч., 600. XVII в. ~ 1534 г.",медицина. болезни,,,,,
еммородиевъ,,< αἱμορροΐς,прил.,,емориевъ,нем. от греч.,да,нем.,"струящий кровь, кровоточащий (при геморрое)",,"СлРЯ, 5, 50",,"Травник Любч., 311. XVII в. ~ 1534 г.",,XVII в.,1534 г.,"Утробу кровавую и емъмородиеву. Травник Любч., 311. XVII в. ~ 1534 г.",медицина. болезни,,,,,
еммороидесъ,,< αἱμορροΐς,м.,,,польск. от греч.,да,польск.,геморрой, кровотечение ,,"СлРЯ, 5, 50",,"Назиратель, 145. XVI в.",,,XVI в.,"Болѣзнь, которую лѣкари нарицают еммороидес. Назиратель, 145. XVI в.",медицина. болезни,,,,
емнохъ,,εὐνοῦχος,м.,"евнухъ, емнухъ",,,,,евнух,,"СлРЯ, 5, 50",,"Патерик Син., лл. 97; 114 об.; 129 об. ΧΙ в.",,ΧΙ в.,XI в.,"ем'нохъ. Патерик Син., лл. 97; 114 об.; 129 об. XI в.; И пусти [Мемфий] емнуха къ измалтомъ, просяще мене на продание… и не хотѣвъ, отиде скопець росварився с ними. Палея Толк.2, 183 об. 1477 г. ~ XIII в. ",государство. должности и титулы,,,,,
емнухъ,,εὐνοῦχος,м.,емнохъ,,,,,евнух,,"СлРЯ, 5, 50",,"Патерик Син., л. 95, ем'нухъ л. 95 об. . ΧΙ в.",,ΧΙ в.,XI в.,"ем'нѹхъ. Патерик Син., л. 95, ем'нухъ л. 95 об. XI в.",государство. должности и титулы,"Ср. перевод εὐνοῦχος — каженикъ Патерик Син., 120 и 128 об. и скопьць Патерик Син., 26 об., наиболее близкая по расположению в рукописи пара: ем'нохъ 129 об. и каженикъ 128 об.",,евнухъ ,,
емпанъ,,τύμπανον?,м.,,,,,,музыкальный инструмент (тимпан?),,"СлРЯ, 5, 50",,"Проскинитарий Арс. К., 32. 1686 г.",,,1686 г.,"Употребляютъ же [сирийцы] мѣсто органа мусикийска древо емпанъ зовомо, долго двохъ пядей, и широго трехъ перстовъ, и по псалму, идѣже творятъ биютъ молоткомъ. Проскинитарий Арс. К., 32. 1686 г.",искусство. музыкальные инструменты,,,,,
емпиръ,,ἔμπυρος,м.,,,,,,"эмпирей (в греческой мифологии - самая высокая часть неба, наполненная огнём и светом, являющаяся жилищем богов; по представлениям христиан - место пребывания Бога и святых)",,"СлРЯ, 5, 50",,,"Сим.Пол. Орел рос., 14. 1667 г.",,,"Орле преславный, высоко парящий… что убо толикъ сый, вящше желаешъ, егда славою воздухъ превышаешъ? Еда во емпиръ хощешъ ся вселити? Сим. Пол. Орел рос., 14. 1667 г.",религия. язычество и мифология,,,,,
емпирийский,емпиръ,,прил.,епирийский,,,,,"относящийся к эмпирею; емпирейское небо - эмпирей (в греческой мифологии - самая высокая часть неба, наполненная огнём и светом, являющаяся жилищем богов; по представлениям христиан - место пребывания Бога и святых)",,"СлРЯ, 5, 50",,,"С.Медвед.Пис., 4. 1672 г.; Д.Шакловит. III, 69. 1689 г.",,,"[Желаю] прейти къ нему, невечернему свѣту епирийскаго небесе, въ пресвѣтлую… вѣчную палату. С. Медвед. Пис., 4. 1672 г.",религия. язычество и мифология,,,,,
емпластръ,,ἔμπλαστρον,м.,"емъплястръ, емъпластырь",,лат.,лат. emplastrum от греч. ἔμπλαστρον,,"пластырь; повязка, накладываемая на дерево после прививки.",,"СлРЯ, 5, 51",,"Травник Любч., 97. XVII в. ~ 1534 г.; Назиратель, 388. XVI в.",,,XVI в.,,природа. растения и плоды,,,,,
емпластрование,емпластръ,,с.,,,,,,прививка дерева посредством наложения куска коры с глазком.,,"СлРЯ, 5, 51",,"Назиратель, 401. XVI в.",,,XVI в.,,природа. растения и плоды,,,,,
енарь,,ἰανουάριος,м.,"енуарь, генварь",,от лат. ianuarius,,греч.,"январь, название месяца ",,"СДРЯ III, 212",,,"Надп сер. XII (32). (СДРЯ III, 212)",,XII в.,"м(с)ця енаря въ ‧л҃‧ ст҃го ип<оли>та крила землю княгыни бояню всеволожаа передъ ст҃ою софиею Надп сер. XII (32). (СДРЯ III, 212)",календарь. месяцы,,,"енуарь, генварь",,
енуарь,енуаръ,ἰανουάριος,м.,генварь,"генуарий, ианнуарий",от лат. ianuarius,,греч.,январь (название месяца),,"Срз. I, 828 (енуаръ, енуарь); СлРЯ 4, 17 (генварь, енуарь)","SJS I, 574",1057 г.,"(Запись) Остр.ев., 256.",1057 г.,,"Мс҃ца енуара, просиньца рекомааго (μὴν ʼΙανουάριος). (Запись) Остр.ев., 256.",календарь. месяцы,в цитате находится славянская глосса,,"ианнуарий, генварь ",,
енудръ,,ἐνυδρίς,м.,"инудръ, нудръ",,,,,выдра,,"СлРЯ, 5, 51",,"Физ., 311. ΧV - ΧVΙ вв.",,ΧV - ΧVΙ вв.,,"Есть животъ гл҃емыи нудръ образъ имыи песии… идеть же убо инудръ и помажетьс<я> каломъ… а енудръ Сп҃са нашего лице есть (ἐνύδριος... ἡ ἐνυδρίς... ἡ δὲ ἐνυδρίς). Физ., 311.",природа. животный мир,,,"инудръ, нудръ",,
еография ,,γεωγραφία,ж.,,,,,,"землеописание, география ",,"СлРЯ, 5, 52",,"Орбис Тер., 143 об.",,,1685 г.,"Сие имянуется еография, еже изыскивати и вѣдати всю подн҃бсную. Орбис Тер., 143 об. 1685 г.",культура. наука,,,,,
епанафора,,ἐπαναφορά,ж.,,,,да,,восхождение,,не зафиксировано,,"Шестоднев Ио.екз.Бог.2 (Б.), 292.",,XV в.,,"При коемьждо сихь кеньтра, иже суть строкы, иже предъ грядеть живот, отстрочьную страну зовуть, а иже въ слѣдъ грядеть живот, то тъ зовуть епанафора, рекше възносный (ἐπαναφοράν). Шестоднев Ио.екз.Бог.2 (Б.), 292. XV в.",культура. наука,в этом фрагменте находится вставка из сочинения Секста Эмпирика «Adversus mathematicos»,,,,
епархиевый ,епархия,,прил.,,,,,,относящийся к епархии ,,"СДРЯ III, 212",,"ПНЧ XIV, 206б (СДРЯ III, 212)",,XIV в.,,"Аще же клирикъ вещь имать къ своему ли кы иному еп(с)пу. о(т) сбора епархиеваго да судить(с). ПНЧ XIV, 206б (СДРЯ III, 212)",религия. богослужебные должности,,,,,
епархийский,"епархия, епархъ",,прил.,,,,,,"относящийся к епархии, епарху ",,"СлРЯ, 5, 52; СДРЯ III, 212",,"Ефр. Корм., 120. XII в.",,ΧΙΙ в.,,"О сихъ пьрѣтися прѣдъ областьныимъ съборъмь епрах(и)искыимь [так в изд.]. Ефр. Корм., 120. XII в.",религия. богослужебные должности,,,,,
епархия,,ἐπαρχία,ж.,,,,,,"1. территориально-административная единица, управляемая епархом. 2. церковный округ, управляемый епископом; епархия ",,"ФГcэ, III, 58; Срз. I, 828; СлРЯ, 5, 52-53; СДРЯ III, 212","SJS I, 575; Грц.макед., 111","(А XXV, 1) Апост.Христ. ΧΙΙ в.","2 зн. АИ IV, 543. 1675 г.; Гр.Дв. II, 400. 1698 г.",ΧΙΙ в.,,"(А XXV, 1) Апост.Христ. ΧΙΙ в.; [Август] въпусти же вонъ галлы воины хранити страну ту и градъ, нарече въ имя ихъ и страну епархию ту и рѣка Голлосъ. Хрон. И. Малалы, IX, 15. XV в. ~ XIII в.",религия. богослужебные должности,,,,,
епархияне ,епархия,,мн.,,епархиянинъ,,,,"лица, принадлежащие к епархии, живущие в ней ",,"Срз. I, 828; СДРЯ III, 212; СлРЯ, 5, 53",,"КЕ XII, 177а (СДРЯ III, 212)",,ΧΙΙ в.,,"На ошьдъшая не мощьно. суда износити… являеть ми ся. не тъчию трьмъ быти нъ подобаеть. нъ аще мощьно и всѣмъ. епархиянемъ. да судъ многыихъ извѣстьнѣе осужение. (τοὺς... ἐπαρχεώτας) КЕ XII, 177а (СДРЯ III, 212)",религия. богослужебные должности,,,,,
